ID,Author,Quotes
1,Albert Einstein,We cannot solve problems with the kind of thinking we employed when we came up with them
2,Mahatma Gandhi,"Learn as if you will live forever, live like you will die tomorrow"
3,Mark Twain,"Stay away from those people who try to disparage your ambitions. Small minds will always do that, but great minds will give you a feeling that you can become great too"
4,Eleanor Roosevelt,"When you give joy to other people, you get more joy in return. You should give a good thought to happiness that you can give out"
5,Norman Vincent Peale,"When you change your thoughts, remember to also change your world"
6,Walter Anderson,"It is only when we take chances, when our lives improve. The initial and the most difficult risk that we need to take is to become honest"
7,Diane McLaren,"Nature has given us all the pieces required to achieve exceptional wellness and health, but has left it to us to put these pieces together"
8,Winston S. Churchill,Success is not final; failure is not fatal: It is the courage to continue that counts
9,Herman Melville,It is better to fail in originality than to succeed in imitation
10,Colin R. Davis,The road to success and the road to failure are almost exactly the same
11,Henry David Thoreau,Success usually comes to those who are too busy looking for it
12,Dale Carnegie,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success
13,Calvin Coolidge,Nothing in the world can take the place of Persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan 'Press On' has solved and always will solve the problems of the human race
14,Mister Rogers,There are three ways to ultimate success: The first way is to be kind. The second way is to be kind. The third way is to be kind
15,John Wooden,"Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to become the best of which you are capable"
16,Estée Lauder,I never dreamed about success. I worked for it
17,W. P. Kinsella,"Success is getting what you want, happiness is wanting what you get"
18,Winston Churchill,The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty
19,Will Rogers,Don’t let yesterday take up too much of today
20,Unknown,You learn more from failure than from success. Don’t let it stop you. Failure builds character
21,Steve Jobs,"If you are working on something that you really care about, you don’t have to be pushed. The vision pulls you"
22,Vernon Sanders Law,"Experience is a hard teacher because she gives the test first, the lesson afterwards"
23,Dorothy West,To know how much there is to know is the beginning of learning to live
24,Tony Robbins,Goal setting is the secret to a compelling future
25,Alexander Graham Bell,Concentrate all your thoughts upon the work in hand. The sun's rays do not burn until brought to a focus
26,Jim Rohn,Either you run the day or the day runs you
27,Thomas Jefferson,"I’m a greater believer in luck, and I find the harder I work the more I have of it"
28,Paulo Coelho,"When we strive to become better than we are, everything around us becomes better too"
29,Thomas Edison,Opportunity is missed by most people because it is dressed in overalls and looks like work
30,Tony Robbins,Setting goals is the first step in turning the invisible into the visible
31,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it"
32,Alexandra of The Productivity Zone,It’s not about better time management. It’s about better life management
33,Cindy Gallop,Women challenge the status quo because we are never it
34,Arlan Hamilton,"We don’t just sit around and wait for other people. We just make, and we do"
35,Oprah Winfrey,Think like a queen. A queen is not afraid to fail. Failure is another stepping stone to greatness
36,Unknown,"The strongest actions for a woman is to love herself, be herself and shine amongst those who never believed she could"
37,Yulia Tymoshenko,"Whenever you see a successful woman, look out for three men who are going out of their way to try to block her"
38,Lady Gaga,"Some women choose to follow men, and some choose to follow their dreams. If you’re wondering which way to go, remember that your career will never wake up and tell you that it doesn’t love you anymore"
39,Roseanne Barr,The thing women have yet to learn is nobody gives you power. You just take it
40,T D Jakes,No woman wants to be in submission to a man who isn’t in submission to God!
41,George Meredith,A witty woman is a treasure; a witty beauty is a power
42,Diane Von Furstenberg,When a woman becomes her own best friend life is easier
43,Margaret Thatcher,"If you want something said, ask a man; if you want something done, ask a woman"
44,Sheryl Sandberg,"We need women at all levels, including the top, to change the dynamic, reshape the conversation, to make sure women’s voices are heard and heeded, not overlooked and ignored"
45,Madeleine Albright,"It took me quite a long time to develop a voice, and now that I have it, I am not going to be silent"
46,Eleanor Roosevelt,Women must learn to play the game as men do
47,Ayn Rand,"I swear, by my life and my love of it, that I will never live for the sake of another man, nor ask another man to live for mine"
48,Confucius ,He who conquers himself is the mightiest warrior
49,Albert Einstein,"Try not to become a man of success, but rather become a man of value"
50,Andrew Jackson,One man with courage makes a majority
51,Benjamin Disraeli,One secret of success in life is for a man to be ready for his opportunity when it comes
52,Confucius Kongzi,A man who has committed a mistake and doesn’t correct it is committing another mistake
53,Dale Carnegie,The successful man will profit from his mistakes and try again in a different way
54,David Brinkley,A successful man is one who can lay a firm foundation with the bricks others have thrown at him
55,Epictetus,"He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has"
56,George Lorimer,You've got to get up every morning with determination if you're going to go to bed with satisfaction
57,Nelson Mandela,Education is the most powerful weapon which you can use to change the world
58,Amelia Earhart,"The most difficult thing is the decision to act, the rest is merely tenacity"
59,John Graham,"You’ll find that education is just about the only thing lying around loose in this world, and it’s about the only thing a fellow can have as much of as he’s willing to haul away"
60,Augustine Og Mandino,"Take the attitude of a student, never be too big to ask questions, never know too much to learn something new"
61,Joe Girard,"The elevator to success is out of order. You’ll have to use the stairs, one step at a time"
62,Dave Carolan,Be a positive energy trampoline – absorb what you need and rebound more back
63, Zig Ziglar,"People often say that motivation doesn’t last. Well, neither does bathing – that’s why we recommend it daily"
64,Unknown ,Work until your bank account looks like a phone number
65,Oscar Wilde,I am so clever that sometimes I don’t understand a single word of what I am saying
66,Tom Lehrer,Life is like a sewer… what you get out of it depends on what you put into it
67,Lily Tomlin,"I always wanted to be somebody, but now I realise I should have been more specific"
68,Michael Jordan,"Talent wins games, but teamwork and intelligence win championships"
69,Vince Lombardi,"Individual commitment to a group effort—that is what makes a team work, a company work, a society work, a civilisation work"
70,Andrew Carnegie,Teamwork is the ability to work together toward a common vision. The ability to direct individual accomplishments toward organizational objectives. It is the fuel that allows common people to attain uncommon results
71,Henry Ford,Coming together is a beginning. Keeping together is progress. Working together is success
72,Helen Keller,"Alone we can do so little, together we can do so much"
73,Patrick Lencioni,"Remember, teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability"
74,Jean-Francois Cope,"I invite everyone to choose forgiveness rather than division, teamwork over personal ambition"
75,Dalai Lama,Just one small positive thought in the morning can change your whole day
76,Chris Grosser,"Opportunities don't happen, you create them"
77,Gary Vaynerchuk,"Love your family, work super hard, live your passion"
78,George Eliot,It is never too late to be what you might have been
79,Les Brown,Don't let someone else's opinion of you become your reality
80,Mark Cuban,"If you’re not positive energy, you’re negative energy"
81,Stephen R. Covey,I am not a product of my circumstances. I am a product of my decisions
82,William James,The greatest discovery of my generation is that a human being can alter his life by altering his attitudes
83,Edmond Mbiaka,"One of the differences between some successful and unsuccessful people is that one group is full of doers, while the other is full of wishers"
84,Lucille Ball,I’d rather regret the things I’ve done than regret the things I haven’t done
85,Gordon B. Hinckley,"You cannot plow a field by turning it over in your mind. To begin, begin"
86,Marcus Aurelius,"When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love…"
87,David Dweck,Mondays are the start of the work week which offer new beginnings 52 times a year!
88,Wayne Dyer,"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice"
89,Germany Kent,"Your Monday morning thoughts set the tone for your whole week. See yourself getting stronger, and living a fulfilling, happier & healthier life"
90,Kate Summers,Friday sees more smiles than any other day of the workweek!
91,S. O’Sade,Oh! It’s Friday again. Share the love that was missing during the week. In a worthy moment of peace and bliss
92,Nanea Hoffman,"Every Friday, I like to high five myself for getting through another week on little more than caffeine, willpower, and inappropriate humor"
93,Byron Pulsifer,Make a Friday a day to celebrate work well done that you can be proud of knowing that you just didn’t put in time to the next paycheck
94,Catherine Pulsifer,"When you leave work on Friday, leave work. Don’t let technology follow you throughout your weekend (answering text messages and emails) take a break you will be more refreshed to begin the workweek if you have had a break"
95,Zig Ziglar,You can get everything in life you want if you will just help enough other people get what they want
96,Pablo Picasso,"Inspiration does exist, but it must find you working"
97,Angela Bassett,"Don't settle for average. Bring your best to the moment. Then, whether it fails or succeeds, at least you know you gave all you had"
98,Isabel Allende,"Show up, show up, show up, and after a while the muse shows up, too"
99,David Ogilvy,Don't bunt. Aim out of the ballpark. Aim for the company of immortals
100,Barbara Elaine Smith,I have stood on a mountain of no’s for one yes
101,Tobias Lütke,"If you believe something needs to exist, if it's something you want to use yourself, don't let anyone ever stop you from doing it"
102,Anne Lamott,Don't look at your feet to see if you are doing it right. Just dance
103,Warren Buffet,Someone's sitting in the shade today because someone planted a tree a long time ago
104,Mortimer J. Adler,True freedom is impossible without a mind made free by discipline
105,A.A. Milne,Rivers know this: there is no hurry. We shall get there some day
106,Martha Graham,"There is a vitality, a life force, an energy, a quickening that is translated through you into action, and because there is only one of you in all time, this expression is unique. And if you block it, it will never exist through any other medium and will be lost"
107,Jason Fried,Small is not just a stepping-stone. Small is a great destination itself
108,Benjamin Franklin,He that can have patience can have what he will
109,Jessica Ennis,The only one who can tell you “you can’t win” is you and you don’t have to listen
110,Bo Jackson,"Set your goals high, and don’t stop till you get there"
111,Mia Hamm,"Take your victories, whatever they may be, cherish them, use them, but don’t settle for them"
112,Steve Jobs,"Life can be much broader once you discover one simple fact: Everything around you that you call life was made up by people that were no smarter than you. And you can change it, you can influence it… Once you learn that, you'll never be the same again"
113,Albert Einstein,Life is like riding a bicycle. To keep your balance you must keep moving
114,Ralph Waldo Emerson,What you do speaks so loudly that I cannot hear what you say
115,Mark Twain,I have never let my schooling interfere with my education
116,Napoleon Hill,"If you can't yet do great things, do small things in a great way"
117,Jim Rohn,"If you really want to do something, you'll find a way. If you don't, you'll find an excuse"
118,Abraham Lincoln,"Be sure you put your feet in the right place, then stand firm"
119,Stephen Covey,"Live out of your imagination, not your history"
120,Unknown,"Do not wait for the perfect time and place to enter, for you are already onstage"
121,Epicurus,"The greater the difficulty, the more the glory in surmounting it"
122,Mary Anne Radmacher,"Courage doesn't always roar. Sometimes courage is a quiet voice at the end of the day saying, ""I will try again tomorrow"
123,Clayton M. Christensen,"If the decisions you make about where you invest your blood, sweat, and tears are not consistent with the person you aspire to be, you’ll never become that person"
124,Cindy Gallop,"Fear of what other people will think is the single most paralyzing dynamic in business and in life. The best moment of my life was the day I realized that I no longer give a damn what anybody thinks. That’s enormously liberating and freeing, and it’s the only way to live your life and do your business"
125,Unknown ,Worry is a misuse of imagination
126,Maya Angelou,"Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently"
127,Edna Mode,"I never look back, darling. It distracts from the now"
128,Unknown,A year from now you will wish you had started today
129,Steve Furtick,The reason we struggle with insecurity is because we compare our behind-the-scenes with everyone else’s highlight reel
130,Jay-Z,"I will not lose, for even in defeat, there’s a valuable lesson learned, so it evens up for me"
131,Arianna Huffington,I do not try to dance better than anyone else. I only try to dance better than myself
132,Erica Jong,"If you don’t risk anything, you risk even more"
133,Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently"
134,Confucius,"Our greatest glory is not in never falling, but in rising every time we fall"
