Id,Name,Authors,ISBN,Rating,RatingDistTotal,PagesNumber,PublishDate,Publisher,Description
1,Dr. Karyn's Guide To The Teen Years,Karyn Gordon,2008637,4,4,320,3/25/2008,Collins,"Teenagers are unique beings, requiring a whole new parenting approach. Dr. Karyn Gordon, or “dk” as teens call her, knows that approach and has been coaching adolescents and parents for over a decade. She’s a high-demand speaker, an expert on The Mom Show and the go-to teen parenting source for Canadian media. Using her dynamic, pragmatic advice and experience, Dr. Karyn cracks the mysterious code that defines teen behaviour.  A book that stands alone amid other parenting guides, Dr. Karyn’s Guide to the Teen Years is firmly based on what teens actually think, feel and do. Gordon explains the recent research that shows the teen brain is actually different and reveals how this difference radically affects adolescent—and parent—behaviours. Her PARENT keys, seen below, will unlock the secret to a happier, healthierparent–teen relationship. • Picture: the importance of thinking “big picture” and why parents have to understand what they are hoping to achieve with their teen • Attitude: identifying a person’s overall attitude towards parenting and how one’s own upbringing and family principles shape it • Respect: building a healthy sense of respect and self-esteem in your teenager • Emotion: understanding your teen’s emotional brain—. and your own • Non-Verbal/Verbal Communication: 10 different communication styles and how they affect your relationship • Teach: how to teach responsibility and develop a balanced structure that reflects your family values  Throughout the book, Gordon advises on central issues, including depression and mental illness, substance abuse, sex and sexual orientation, privacy and independence, friends and peer pressure, trouble with the law, learning styles and school choices, bullying and violence, and step-parenting. Interspersed with case studies and revealing  es from teens,  Dr. Karyn’s Guide to the Teen Years  is the guide all parents should read before their child’s 12th birthday.   Dr. Karyn’s Guide to the Teen Years  is for parents who: • have trouble understanding or communicating with their teen • worry their teen is unhappy • feel they’re doing too much for their teen • wish their teen would eat healthier, spend smarter or schedule better • feel guilty when they say “no”"
2,The Letter Opener,Kyo Maclear,2008947,4,140,368,7/2/2009,Phyllis Bruce Books,"Naiko works in the Undeliverable Mail Office where, immersed in things lost and missing, she searches for clues to match undeliverable mail with addresses. Her job allows her to achieve a semblance of order in a disorderly world. It is ashock, then, when Naiko’s co-worker Andrei, an enigmatic Romanian refugee, suddenly vanishes.This astonishing debut novel unfolds in compelling, delicately wrought layers. Naiko’s shifting understanding of Andrei’s past becomes an opaque reflection of her own existence, and objects—from the pens hoarded by Naiko’s motherin her retirement home to the personal effects of Jewish women that Andrei’s grandmother sorts through at Birkenau—become touchstones for memories and meaning, loss and love."
3,One Of Us,Michael Marshall Smith,2256002,4.03,1742,368,7/6/1998,HarperCollins,"A mesmerising SF thriller from a master of the genre. Hap Thompson is a REMtemp, working the night hours, having people's anxiety dreams for them. For the first time in his life, Hap's making big money - and that should have been enough..."
4,After Daniel: A Suicide Survivor's Tale,Moira Farr,2557258,4.17,12,217,5/17/2001,HarperCollins Publishers,"Do not in. Please call the police. The words were written on a tiny piece of white paper, tacked to Daniel Jones' white, locked living room door. It was Valentine's Day, 1994, when Moira Farr discovered that the man she loved had killed himself. A man who had struggled to keep his deep depression at bay; a gifted writer; a fine, loving companion: all described the young man who had taken his life using a method clearly outlined in the bestselling ""self-help"" book, Final Exit.Five years later, in an account that is both deeply personal and thoughtfully political, writer and editor Moira Farr reflects on Daniel's suicide and its consequences. After Daniel: A Suicide Survivor's Tale is not a sensational tell-all, a self-help book on the grieving process, or an academic review of suicide theories. It is one woman's story -- beautifully, lyrically written -- of her own experiences and her realization that answers come both from within and from looking at suicide in a wider social context.  In a narrative that moves gracefully between personal experience and a provocative analysis of suicide research, Moira Farr reveals how grief for survivors means conquering an obsession with the events leading up to the suicide, in order to leave behind the litany of ""if onlys"" and eventually heal from the trauma of the event. In a style as haunting as it is elegant, she reflects upon happier times, sharing a love story and a portrait of a man, who despite his demons, seemed to have everything to live for. She looks at the fascination with suicide that is widespread in contemporary popular culture, yet coupled with many myths and misconceptions, in rock music, film, television, and on the Internet. Shetalks to suicide survivors and visits the suicide archive in Calgary -- renowned as the best in the world -- and looks into the growing suicide-prevention movement."
5,Choosing Not Losing: The Experience Of Depression,Dorothy Rowe,6372023,3,2,352,9/2/1996,HarperCollins,"I remember feeling very isolated. For a while I became convinced that I was set apart. Everyone seemed so well and confident. I marvelled that they were able to get through the day.'  Joan had a happy family and a nice home, but saw no point in living further. Mary feared that no one would notice if she died. John desperately needed someone to talk to following the death of a close friend. Joe tried to murder the girl he loved. And Dave's aggression went either against himself or against the world.  Depression is the greatest isolation we can experience, a prison which we build for ourselves. Just as we build it, however, so we can unlock the door and let ourselves out. In 'Choosing Not Losing', eminent psychologist Dorothy Rowe draws on her experiences with a number of patients who were referred to her for treatment. Their stories show that the lives of even those in the depths of depression 'can' change.  A sympathetic and immensely valuable book, full of insight into the often strange and moving world of suffering inhabited by the depressive, 'Choosing Not Losing' will give hope to all who read it."
6,Hurry Down Sunshine,Michael  Greenberg,6385265,3.43,3593,240,8/18/2009,HarperCollins Publishers,"At the age of 15, during one long and difficult summer, Michael Greenberg’s daughter, Sally, was struck mad. Her visionary crack-up occurred on the streets of Greenwich Village and continued, among other places, in the lost-in-time world of a Manhattan psychiatric ward during New York City’s most sweltering months.      Hurry Down Sunshine   is Greenberg’s journey toward comprehending mental illness in his own family. With touching honesty and intimacy, he reveals the effect of Sally’s mania on those closest to her, including her easygoing brother, her stalwart grandmother, her new-age mother, her artistic, loving stepmother—and, finally, on himself.   Unsentimental, nuanced and deeply humane,  Hurry Down Sunshine  is a transcendent memoir about mental illness and the restorative power of one father’s love for his daughter."
7,The Dice Man,Luke Rhinehart,6513905,3.57,16998,541,1971,HarperCollins,"The cult classic that can still change your life...Let the dice decide! This is the philosophy that changes the life of bored psychiatrist Luke Rhinehart - and in some ways changes the world as well. Because once you hand over your life to the dice, anything can happen. Entertaining, humorous, scary, shocking, subversive, The Dice Man is one of the cult bestsellers of our  The cult classic that can still change your life...Let the dice decide! This is the philosophy that changes the life of bored psychiatrist Luke Rhinehart - and in some ways changes the world as well. Because once you hand over your life to the dice, anything can happen. Entertaining, humorous, scary, shocking, subversive, The Dice Man is one of the cult bestsellers of our time."
8,NLP Workbook: A practical guide to achieving the results you want,Joseph  O'Connor,7100035,3.96,325,304,January 1st 2001,Thorsons,"A practical, creative guidebook to achieving the results you want using Neuro Linguistinc Programming techniques Neuro-Linguistic Programming is based on the idea that the human mind is a sort of computer    “ our verbal and body language are the programmes which allow us to change our own thoughts and influence other people e.g. using body language and speech patterns to crea A practical, creative guidebook to achieving the results you want using Neuro Linguistinc Programming techniques Neuro-Linguistic Programming is based on the idea that the human mind is a sort of computer    “ our verbal and body language are the programmes which allow us to change our own thoughts and influence other people e.g. using body language and speech patterns to create instant rapport with someone else. We already use such techniques on a sub-conscious level    “ NLP simply helps us crystalise what we already know. This work book is a basic, at-home NLP course, providing easy-to-follow exercises and reflections to which the reader can return time and again. It addresses topics such as How to Change Emotional State, the Power of Language and Getting Results, and can be applied to all kinds of different areas e.g. business, sport, health. The NLP workbook is designed to be a basic manual for the beginner in NLP, and also a clear and easy reference manual for practioners and trainers."
9,To Ride Hell's Chasm,Janny Wurts,7101090,3.82,1408,483,12/1/2002,Voyager,"When Princess Anja fails to appear at her betrothal banquet, the tiny, peaceful kingdom of Sessalie is plunged into intrigue. Two warriors are charged with recovering the distraught king's beloved daughter. Taskin, Commander of the Royal Guard, whose icy competence and impressive life-term as the Crown's right-hand man command the kingdom's deep-seated respect; and Mykkael, the rough-hewn newcomer who has won the post of Captain of the Garrison - a scarred veteran with a deadly record of field warfare, whose ""interesting"" background and foreign breeding are held in contempt by court society. As the princess's trail vanishes outside the citadel's gates, anxiety and tension escalate. Mykkael's investigations lead him to a radical explanation for the mystery, but he finds himself under suspicion from the court factions. Will Commander Taskin's famous fair-mindedness be enough to unravel the truth behind the garrison captain's dramatic theory: that the resourceful, high-spirited princess was not taken by force, but fled the palace to escape a demonic evil?"
10,Fibromyalgia and Muscle Pain: Your Self-Treatment Guide,Leon Chaitow,7115024,3.95,43,288,9/9/2011,Thorsons,"A practical guide to this increasingly common chronic fatigue disorder.   Sufferers of fibromyalgia (formerly called fibrositis) experience widespread muscle pain and other associated symptoms which may include disturbed sleep, bowel disorders, headaches, anxiety, chronic fatigue and PMS.   This book clearly explains what fibromyalgia is and how it affects sufferers. Leon Chaitow explains the various self-help methods which include:   massage and self-manipulation for muscle problems • hydrotherapy, aromatherapy and acupuncture • detoxification and skin brushing • relaxation techniques • amino acids, antioxidants and other supplements"
11,Why Can't I Lose Weight?: What to Do When Weight Gain Is a Symptom of a Hidden Health Problem,Martin L. Budd,7120656,3,1,288,3/15/2002,Thorsons Publishers,"Providing self-diagnosis and treatment options for people for whom diet and exercise strategies haven't worked, this book tries to help the sufferers of (often undiagnosed) health disorders which include thyroid problems, PCOS, food allergies, low blood sugar, diabetes, leaky gut, candida and hormonal imbalances. This is not an ordinary diet book. Instead, it's a resource for the many people whose weight remains largely uninfluenced by low-calorie diets or exercise. These people have a depressed metabolism which may be a result of an undiagnosed health problem. Naturopath Martin Budd helps readers identify the real problem with questionnaires and case studies and chapters on the following disorders: hypothyroidism; PCOS; diabetes; low blood sugar (hypoglycaemia); leaky gut; food allergies; and hormonal inbalances. Some of the associated symptoms with these conditions include: fatigue; digestive problems; poor stress handling; depression; low sex drive; joint and muscle pain."
12,Teaching Meditation to Children,David Fontana,7133081,3.74,47,224,3/5/2003,Thorsons Publishers,"This is a guide to teaching children the health-giving benefits of meditation, covering their needs from school age to late adolescence. It is inspired by recent research that shows that childhood disorders such as hyperactivity, aggression and sleep problems may be helped by meditation."
13,The Healthy Gut Cookbook: How to Keep in Excellent Digestive Health with 60 Recipes and Nutrition Advice,Marguerite Patten,7141289,2.5,4,288,4/7/2011,Thorsons,"Cookery expert Marguerite Patten and nutritionist Jeannette Ewin tell you everything you need to know about eating for a healthy gut. Includes information about a wide range of gut problems, practical advice on the best food choices and 60 healthy gut recipes.   This invaluable new collaboration between favourite British cookery expert Marguerite Patten and nutritional scientist Jeannette Ewin, authors of the bestselling Eat to Beat Arthritis, takes a look at how diet and nutrition are key factors in creating and maintaining good gut health.   Gut disorders such as IBS and Crohn’s disease, as well as more general complaints such as constipation are on the increase. Many of these conditions are due to, or exacerbated by, poor nutrition. Marguerite Patten, in her introduction, describes her own recent experience of the highly common condition, IBS. She offers 60 delicious recipes that show you how to create tasty and nutritious meals following the nutritional guidelines to ease such digestive disorders. Jeannette Ewin gives invaluable advice on nutrition for a healthy gut, an explanation of how and why things go wrong and information on self-treatment using probiotics and how medications can affect the gut."
